Location,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ALABAMA,1064308.4,1044074.4,1084542.4,1088589.2,1052168.0,1072402.0,1048121.2,1011700.0,1027887.2,1047716.5,1108823.2,1112870.0,1120963.6,1112870.0,1133104.0,1282835.6,1294976.0,1549924.4,1464941.6,1349203.1,1216063.4,1373079.2,1265434.4,1129866.6,1138769.5,1082923.7,1067141.2,1119344.9,1044883.8,1048121.2,1121368.3,1233060.0,1280812.2,1271099.9,1468988.4,1492459.8,1366199.7,1330183.2,1442279.5,1386029.0,1396955.4,1300641.5,1233060.0,1265839.0,1152124.0,1100324.9,1024245.1,1023840.4,976088.16,949379.28,988633.24,923075.08,881797.72,825547.2,858326.28,821500.4,804908.52,771724.76,725995.92,731256.76,689979.4,538224.4,462953.92,458502.44,412773.6,382422.6,352880.96,363807.32,287727.48,264660.72,224597.4,253329.68,220550.6,246854.8,254948.4,267088.8,323744.0,151755.0,220145.92,203149.36,171179.64,214480.4,153778.4,123427.4,155801.8,131521.0,109263.6,101170.0,68795.6,72842.4,97123.2,84982.8,119380.6,101170.0,105216.8,89029.6,109263.6,101170.0,80936.0,80936.0,66772.2,60702.0,72842.4,76889.2,78912.6,80936.0,66772.2,113310.4,95099.8,101170.0,101170.0,101170.0,119380.6,119380.6,115333.8,99146.6,127474.2,95099.8,95099.8
ARIZONA,4451.48,4856.16,4046.8,4856.16,4046.8,5260.84,5260.84,6070.2,6474.88,6879.56,6070.2,6070.2,6474.88,6879.56,7284.24,8093.6,8093.6,11331.04,12140.4,8902.96,8498.28,8498.28,9307.64,9307.64,6879.56,7688.92,8902.96,9712.32,8902.96,7284.24,7688.92,8498.28,10117.0,10117.0,9307.64,10521.68,10926.36,10926.36,11735.72,10117.0,10926.36,11735.72,10117.0,9712.32,10117.0,9307.64,9307.64,9307.64,9307.64,10117.0,10117.0,10117.0,11331.04,10926.36,11331.04,16187.2,14163.8,11331.04,9712.32,8902.96,8498.28,8498.28,6879.56,7284.24,8498.28,8093.6,7688.92,8498.28,6879.56,8093.6,6070.2,6474.88,6070.2,3642.12,4046.8,4856.16,11331.04,20234.0,20234.0,18210.6,14163.8,12140.4,7284.24,5260.84,7284.24,5665.52,6070.2,6070.2,5260.84,5260.84,2832.76,2023.4,4451.48,4046.8,6070.2,8902.96,16187.2,16187.2,12140.4,12140.4,13354.44,11331.04,11331.04,8902.96,10926.36,8902.96,7284.24,8902.96,6070.2,8093.6,8902.96,14163.8,12949.76,20638.68,11331.04,14568.48,20234.0,12949.76,
ARKANSAS,922670.4,886249.2,906483.2,870062.0,837687.6,821500.4,821500.4,849828.0,866015.2,925503.16,926717.2,902436.4,926717.2,914576.8,874108.8,967185.2,930764.0,1001583.0,1011700.0,927526.56,902436.4,995108.12,889891.32,783460.48,819072.32,802885.12,806527.24,763226.48,731256.76,711022.76,621993.16,816239.56,839711.0,830403.36,825142.52,869657.32,851042.04,854279.48,901627.04,884630.48,851851.4,800457.04,737326.96,675815.6,626039.96,540247.8,580715.8,512729.56,496542.36,445148.0,541057.16,386469.4,334670.36,257781.16,231881.64,254948.4,261423.28,192223.0,170774.96,153778.4,123427.4,96313.84,83768.76,70414.32,53417.76,39658.64,30755.68,25090.16,20638.68,17401.24,17805.92,16187.2,11331.04,8498.28,9307.64,15377.84,18210.6,17401.24,12140.4,14163.8,14973.16,19829.32,12140.4,13354.44,19829.32,29541.64,32374.4,26304.2,24280.8,23471.44,29541.64,32374.4,38444.6,36421.2,36421.2,34397.8,93076.4,74865.8,87006.2,40468.0,70819.0,74865.8,103193.4,141638.0,123427.4,93076.4,72842.4,238761.2,174012.4,165918.8,153778.4,210433.6,281252.6,352071.6,214480.4,180082.6,301486.6,240784.6,263042.0
CALIFORNIA,25090.16,25494.84,25899.52,25090.16,23876.12,24685.48,25090.16,24280.8,23471.44,24280.8,25494.84,27518.24,30351.0,29136.96,33183.76,38444.6,40468.0,50585.0,56655.2,47347.56,33588.44,25494.84,19424.64,21043.36,14973.16,14973.16,14568.48,14163.8,13354.44,16187.2,17401.24,19424.64,22257.4,19019.96,15782.52,17401.24,17401.24,17805.92,17805.92,14568.48,15377.84,18210.6,16591.88,15377.84,14568.48,11735.72,12949.76,10926.36,12140.4,12545.08,16996.56,12140.4,15782.52,14973.16,41682.04,74461.12,70009.64,87410.88,71223.68,67581.56,52608.4,36825.88,31160.36,39658.64,43300.76,58273.92,72842.4,89029.6,74865.8,71628.36,82150.04,101170.0,87006.2,95099.8,91053.0,102788.72,117357.2,99955.96,113715.08,105216.8,109263.6,111287.0,133544.4,105216.8,151755.0,129497.6,101170.0,89434.28,75675.16,74865.8,64748.8,46538.2,60702.0,68795.6,72842.4,60702.0,89029.6,107240.2,99146.6,74865.8,82959.4,64748.8,60702.0,56655.2,60702.0,52608.4,44514.8,76889.2,68795.6,64748.8,72842.4,60702.0,72842.4,72842.4,38444.6,24280.8,40468.0,32374.4,30351.0
COLORADO,38039.92,44110.12,53013.08,57869.24,66367.52,72842.4,78912.6,84982.8,105216.8,146089.48,157825.2,170370.28,187366.84,202340.0,254948.4,283276.0,303510.0,339931.2,323744.0,304724.04,372305.6,349238.84,346001.4,483997.28,446766.72,490067.48,487639.4,490472.16,558053.72,510706.16,500589.16,546318.0,603782.56,617946.36,100360.64,333051.64,346406.08,218122.52,314436.36,201530.64,234714.4,288536.84,301486.6,273563.68,273563.68,214480.4,150540.96,160657.96,143661.4,195055.76,138805.24,137591.2,85792.16,95909.16,88624.92,95909.16,82554.72,119785.28,140828.64,123832.08,101574.68,93481.08,79317.28,72033.04,71223.68,77698.56,90243.64,109263.6,114119.76,135163.12,161872.0,182106.0,167942.2,196269.8,218527.2,226620.8,254948.4,281252.6,295416.4,307556.8,307556.8,311603.6,319697.2,246854.8,275182.4,301486.6,287322.8,279229.2,323744.0,376352.4,335884.4,352071.6,356118.4,360165.2,339931.2,335884.4,360165.2,396586.4,433007.6,453241.6,465382.0,433007.6,291369.6,360165.2,420867.2,384446.0,348024.8,428960.8,408726.8,400633.2,489662.8,526084.0,408726.8,396586.4,408726.8,384446.0,473475.6,526084.0,546318.0
DELAWARE,78912.6,78103.24,77698.56,80126.64,78912.6,76889.2,76889.2,76889.2,76889.2,76484.52,75270.48,75270.48,72842.4,72033.04,72033.04,74056.44,74865.8,82959.4,78912.6,69200.28,64344.12,68795.6,63939.44,61511.36,53822.44,53013.08,54227.12,53013.08,53417.76,52608.4,54227.12,57464.56,57869.24,57464.56,54631.8,55845.84,55845.84,56250.52,56250.52,56655.2,55441.16,53822.44,53417.76,52608.4,56250.52,55036.48,54227.12,50989.68,49370.96,53822.44,53822.44,62320.72,70414.32,64748.8,66367.52,65558.16,58273.92,53013.08,50989.68,61916.04,61106.68,47752.24,49775.64,60297.32,63939.44,80531.32,84578.12,85387.48,71628.36,72842.4,74865.8,78912.6,66772.2,68795.6,70819.0,68795.6,78912.6,70009.64,63534.76,64344.12,71628.36,73247.08,71628.36,58678.6,60702.0,70819.0,68390.92,59892.64,56655.2,53822.44,69604.96,68390.92,65153.48,64748.8,60702.0,58273.92,62320.72,64748.8,62725.4,62320.72,62725.4,65558.16,67581.56,65558.16,61916.04,62320.72,65153.48,74865.8,61511.36,65962.84,70009.64,73651.76,72033.04,70414.32,67986.24,66367.52,66367.52,69200.28,64344.12
FLORIDA,232691.0,230667.6,238761.2,240784.6,240784.6,248878.2,246854.8,240784.6,234714.4,246854.8,242808.0,236737.8,238761.2,238761.2,236737.8,261018.6,267088.8,295416.4,317673.8,319697.2,316055.08,316864.44,280847.92,260209.24,238356.52,243212.68,241189.28,243212.68,251306.28,248068.84,251710.96,284085.36,290155.56,298653.84,277205.8,305938.08,284085.36,272754.32,280847.92,263042.0,256162.44,245640.76,232691.0,240784.6,222574.0,200316.6,212861.68,199102.56,171584.32,139209.92,140423.96,146089.48,151755.0,133544.4,140019.28,142852.04,134758.44,127474.2,128283.56,132330.36,124236.76,134353.76,129092.92,135567.8,134353.76,142447.36,145280.12,186557.48,160253.28,132330.36,117761.88,127069.52,124236.76,137591.2,152159.68,151755.0,194246.4,120999.32,138400.56,137186.52,132735.04,132330.36,84982.8,49370.96,84982.8,76889.2,64748.8,42491.4,26304.2,32374.4,30351.0,30351.0,44514.8,40468.0,32374.4,24280.8,45324.16,30351.0,22257.4,16187.2,10117.0,10521.68,14973.16,15782.52,12949.76,11331.04,12140.4,14163.8,14163.8,14973.16,10117.0,13354.44,16187.2,31565.04,16187.2,20234.0,16187.2,14973.16,
GEORGIA,1444707.6,1388052.4,1388052.4,1363771.6,1339490.8,1408286.4,1379958.8,1367818.4,1355678.0,1375102.6,1400192.8,1396146.0,1388052.4,1428520.4,1420426.8,1562064.8,1541830.8,1707749.6,1748217.6,1727578.9,1640572.7,1718271.3,1657974.0,1542235.5,1562064.8,1451991.8,1430948.5,1430139.1,1331801.9,1339086.1,1397764.7,1521192.1,1635716.6,1619529.4,1762786.1,1824297.4,1632883.8,1658378.6,1822678.7,1697227.9,1666876.9,1555589.9,1329373.8,1420831.5,1296594.7,1269481.2,1167906.5,1072806.7,1035171.4,1066331.8,1034362.1,993084.72,923479.76,942095.04,885439.84,889081.96,862373.08,874513.48,853470.12,870466.68,748658.0,681481.12,626849.32,626849.32,601759.16,571812.84,577478.36,652748.84,633324.2,643441.2,632514.84,676624.96,602973.2,675815.6,760798.4,760798.4,874108.8,404680.0,607020.0,627254.0,526084.0,558458.4,329814.2,297439.8,398609.8,394563.0,295416.4,246854.8,202340.0,222574.0,222574.0,222574.0,279229.2,226620.8,218527.2,141638.0,212457.0,182106.0,107240.2,121404.0,97123.2,89029.6,117357.2,117357.2,113310.4,93076.4,91053.0,182106.0,125450.8,149731.6,99146.6,109263.6,125450.8,188176.2,125450.8,115333.8,137591.2,99146.6,111287.0
IDAHO,4046.8,4046.8,3642.12,4046.8,3237.44,3642.12,3642.12,4046.8,4046.8,4046.8,4046.8,4856.16,5260.84,6070.2,8498.28,9712.32,9307.64,9712.32,14973.16,9307.64,10926.36,8902.96,11331.04,14568.48,14973.16,14568.48,10926.36,12949.76,6474.88,8093.6,9307.64,10521.68,11735.72,12140.4,7284.24,7284.24,12949.76,14163.8,11735.72,13759.12,14568.48,16591.88,14973.16,6879.56,7688.92,6474.88,6879.56,6474.88,6879.56,5260.84,4856.16,4856.16,4856.16,5260.84,5665.52,6070.2,6070.2,8093.6,8902.96,10117.0,8498.28,9307.64,9307.64,8498.28,8093.6,8093.6,7284.24,8902.96,9712.32,11331.04,14163.8,13354.44,11735.72,12949.76,14163.8,13354.44,16591.88,16187.2,23471.44,20234.0,20234.0,26304.2,28732.28,26304.2,30351.0,32374.4,24280.8,20234.0,20234.0,20234.0,12140.4,25494.84,13354.44,18210.6,14163.8,14163.8,16187.2,17401.24,21043.36,22257.4,23066.76,18210.6,18210.6,20234.0,30351.0,24280.8,26304.2,42491.4,32374.4,32374.4,44514.8,48561.6,54631.8,46538.2,32374.4,28327.6,40468.0,46538.2,52608.4
ILLINOIS,4232952.8,4330076.0,4390778.0,4269374.0,4249140.0,4249140.0,4249140.0,4208672.0,3965864.0,4116809.6,4107502.0,3965864.0,4046800.0,3986098.0,3905162.0,3844460.0,3864694.0,4087268.0,3905162.0,3200209.4,3409429.0,3325255.6,2959424.8,3103895.6,3208303.0,3464870.2,3353583.2,3064237.0,3377054.6,3145982.3,3300570.1,3599223.9,3744504.0,3271028.4,2716616.8,3120487.5,3305426.2,3548638.9,3266981.6,3071116.5,2963876.3,3015270.7,3012033.2,3246747.6,3562802.7,3138698.1,3461228.0,3313924.5,3627956.2,3620672.0,3240677.4,3432900.4,3532047.0,3642929.4,3520311.3,3595581.8,3430472.4,3194543.9,3336181.9,3961412.5,4040729.8,3313519.8,3346703.6,3581013.3,3744504.0,3956556.4,4185200.6,4365687.8,4082411.8,3924586.6,4022519.2,4075127.6,3733173.0,3856600.4,4006332.0,4374590.8,4690241.2,4564790.4,4520275.6,4471714.0,4629539.2,4580977.6,4629539.2,3196972.0,4427199.2,4601211.6,4208672.0,3723056.0,3884928.0,4350310.0,4208672.0,4451480.0,4471714.0,4046800.0,4633586.0,4046800.0,4370544.0,4471714.0,4228906.0,4309842.0,4471714.0,4390778.0,4411012.0,4471714.0,4694288.0,4835926.0,4512182.0,5281074.0,4815692.0,4775224.0,5018032.0,4997798.0,4957330.0,4775224.0,4754990.0,4653820.0,4633586.0,4431246.0,4390778.0
INDIANA,2033517.0,2043634.0,2114453.0,2084102.0,2205506.0,2023400.0,2053751.0,2003166.0,1972815.0,2061844.6,2003166.0,2003166.0,2043634.0,2063868.0,2084102.0,2124570.0,2165038.0,2377495.0,2165038.0,1803658.8,1876905.8,1788685.6,1571777.1,1806086.8,1564492.9,1844531.4,1755097.2,1530904.4,1701274.7,1498934.7,1560041.4,1784234.1,1772093.7,1649880.4,1507433.0,1625194.9,1693181.1,1820250.6,1619934.0,1603746.8,1512289.2,1536165.3,1559232.0,1664853.5,1784638.8,1695609.2,1779782.6,1710582.4,1822678.7,1838056.6,1710582.4,1778973.3,1804063.4,1846150.2,1887832.2,1941654.6,1858290.6,1708559.0,1736481.9,2044038.7,2084911.4,1626408.9,1675375.2,1742552.1,1794755.8,1902400.7,2054560.4,2177987.8,1916564.5,1869621.6,1992239.6,2229382.1,1976457.1,2120523.2,2148850.8,2278348.4,2549484.0,2513062.8,2509016.0,2440220.4,2541390.4,2428080.0,2537343.6,1889855.6,2440220.4,2488782.0,2306676.0,1974838.4,2023400.0,2104336.0,2205506.0,2245974.0,2415939.6,2185272.0,2411892.8,2144804.0,2205506.0,2326910.0,2245974.0,2294535.6,2245974.0,2294535.6,2112429.6,2181225.2,2237880.4,2335003.6,2177178.4,2577811.6,2209552.8,2209552.8,2314769.6,2326910.0,2440220.4,2359284.4,2335003.6,2217646.4,2213599.6,2100289.2,2092195.6
IOWA,3682588.0,3828272.8,3868740.8,3403358.8,3864694.0,3884928.0,3905162.0,3925396.0,3783758.0,3804396.7,3856600.4,3986098.0,4014425.6,3933489.6,3986098.0,4006332.0,3965864.0,4249140.0,3965864.0,3589106.9,3734791.7,3733577.7,3555923.2,3644548.1,3547829.6,3911232.2,3850530.2,3656283.8,3946439.4,3918921.1,3978409.1,4061773.2,4349096.0,4222835.8,2307080.7,3626742.2,3012842.6,4143923.2,3983669.9,3625932.8,3489960.3,3486722.9,3695942.4,4098194.4,4207458.0,4016044.3,4289608.0,3880071.8,4343025.8,4492352.7,3802373.3,3917302.4,4228501.3,4374995.5,4052465.5,4165371.2,3809252.8,3990144.8,3958579.8,4912410.5,4923336.9,4037087.7,3916088.4,4307818.6,3940773.8,4019686.4,4100217.8,4510158.6,3955747.0,3864289.3,4077960.4,4674054.0,4289608.0,4564790.4,4896628.0,5026125.6,5220372.0,5139436.0,5200138.0,5301308.0,5382244.0,5604818.0,5321542.0,3460014.0,5220372.0,5483414.0,4876394.0,4107502.0,4330076.0,4957330.0,5018032.0,4937096.0,5240606.0,4451480.0,5098968.0,4694288.0,5018032.0,4815692.0,4937096.0,4775224.0,4856160.0,4613352.0,4795458.0,4815692.0,5018032.0,5058500.0,4997798.0,5625052.0,5179904.0,5382244.0,5281074.0,5544116.0,5544116.0,5281074.0,5382244.0,5281074.0,5463180.0,5220372.0,5159670.0
KANSAS,3023769.0,2766392.5,2889415.2,2714188.8,2714188.8,2849756.6,2759512.9,2867967.2,2988966.5,3281550.1,3621886.0,3300974.8,3065451.0,2962257.6,2367378.0,2245974.0,2812526.0,3705250.1,2480688.4,1487603.7,1864360.8,1613863.8,1805277.5,2032303.0,2223311.9,2385183.9,1845745.5,2321244.5,2550698.0,2286037.3,2184867.3,2231810.2,2556363.6,2245164.6,69604.96,974874.12,201125.96,695644.92,786697.92,847804.6,792768.12,936429.52,1189354.5,1208779.2,1364581.0,1115702.8,999154.92,803694.48,923075.08,937238.88,988228.56,885035.16,803694.48,717902.32,545913.32,420462.52,364616.68,488044.08,635752.28,700096.4,698073.0,495733.0,525274.64,546318.0,420867.2,424914.0,416415.72,428960.8,458907.12,488853.44,520013.8,530535.48,505850.0,623207.2,675815.6,663675.2,724377.2,679862.4,607020.0,594879.6,477522.4,475499.0,493709.6,372305.6,386469.4,473475.6,540247.8,497756.4,465382.0,501803.2,586786.0,667722.0,700096.4,728424.0,849828.0,797219.6,950998.0,1052168.0,1153338.0,1205946.4,1282835.6,1234274.0,1052168.0,1011700.0,1165478.4,1396146.0,1214040.0,1489222.4,1468988.4,1562064.8,1881762.0,1699656.0,1598486.0,1618720.0,1537784.0,1586345.6,1991025.6,2104336.0,2063868.0
KENTUCKY,1363771.6,1375912.0,1416380.0,1386029.0,1497316.0,1436614.0,1436614.0,1416380.0,1375912.0,1405049.0,1404239.6,1416380.0,1416380.0,1432567.2,1432567.2,1477082.0,1432567.2,1558018.0,1489222.4,1313996.0,1243986.3,1183284.3,1156575.4,1224966.4,1171143.9,1246009.7,1183689.0,1089398.6,1143625.7,1070378.6,1081709.6,1147672.5,1112870.0,1118535.5,1129057.2,1053786.7,1125010.4,1067141.2,1005225.1,1033148.0,1033148.0,1022626.4,1014532.8,994298.76,991061.32,857112.24,887867.92,860754.36,963543.08,931978.04,841734.4,851446.72,810574.04,766463.92,799647.68,759179.68,721139.76,590428.12,575050.28,683504.52,618755.72,451622.88,451622.88,442719.92,420462.52,424509.32,445957.36,472666.24,415606.36,382422.6,379994.52,478736.44,391730.24,408726.8,435031.0,461335.2,550364.8,594879.6,570598.8,526084.0,598926.4,602973.2,602973.2,388492.8,590832.8,631300.8,615113.6,461335.2,445148.0,477522.4,485616.0,505850.0,526084.0,493709.6,493709.6,461335.2,485616.0,465382.0,477522.4,477522.4,497756.4,445148.0,433007.6,437054.4,461335.2,477522.4,420867.2,542271.2,453241.6,465382.0,497756.4,526084.0,619160.4,578692.4,578692.4,530130.8,566552.0,493709.6,501803.2
LOUISIANA,526084.0,509896.8,505850.0,489662.8,473475.6,473475.6,489662.8,493709.6,513943.6,644250.56,687956.0,687956.0,631300.8,647488.0,655581.6,671768.8,631300.8,647488.0,647488.0,609043.4,584762.6,630896.12,537415.04,492495.56,483592.6,488448.76,447980.76,461335.2,490876.84,473475.6,466191.36,541461.84,598926.4,569384.76,626444.64,651534.8,617137.0,594879.6,677029.64,655176.92,612685.52,569789.44,513943.6,502612.56,460930.52,428556.12,394563.0,380803.88,352071.6,294202.36,314031.68,269516.88,239975.24,202340.0,232691.0,230262.92,216503.8,190604.28,180891.96,159039.24,136781.84,108049.56,89838.96,94290.44,80936.0,73651.76,61106.68,59892.64,56250.52,48966.28,52608.4,40468.0,30755.68,23066.76,22257.4,18210.6,28732.28,26304.2,19019.96,16591.88,12140.4,13354.44,16187.2,22662.08,33183.76,82959.4,155801.8,85387.48,50585.0,57464.56,75270.48,99955.96,125046.12,84982.8,123832.08,89434.28,211647.64,168751.56,218527.2,133544.4,149731.6,124236.76,218527.2,202340.0,165918.8,133544.4,117357.2,295416.4,206386.8,246854.8,202340.0,230667.6,214480.4,271135.6,157825.2,157825.2,222574.0,198293.2,182106.0
MARYLAND,270326.24,271135.6,273159.0,267088.8,269112.2,267088.8,267088.8,263042.0,263042.0,266279.44,265065.4,258995.2,254948.4,250901.6,242808.0,246854.8,242808.0,263042.0,265065.4,250496.92,249687.56,246854.8,239165.88,229048.88,194651.08,208410.2,195055.76,182510.68,184534.08,187366.84,182915.36,194651.08,193437.04,203554.04,182510.68,197079.16,193032.36,195055.76,187366.84,187366.84,186962.16,169965.6,171584.32,167132.84,186152.8,169965.6,166728.16,167132.84,169156.24,162681.36,159443.92,176845.16,187366.84,176035.8,176035.8,188176.2,173203.04,132735.04,154587.76,167132.84,171989.0,149326.92,143256.72,159039.24,165514.12,191818.32,180487.28,212861.68,195865.12,197079.16,202744.68,208814.88,179273.24,202340.0,216503.8,222574.0,254948.4,242808.0,238761.2,240784.6,258995.2,275182.4,258995.2,220550.6,238761.2,258995.2,234714.4,186152.8,169965.6,161872.0,182106.0,182106.0,190199.6,169965.6,157825.2,161872.0,188176.2,165918.8,161872.0,145684.8,163895.4,165918.8,171989.0,165918.8,171989.0,161872.0,171989.0,188176.2,161872.0,171989.0,174012.4,169965.6,176035.8,169965.6,174012.4,153778.4,161872.0,169965.6,157825.2
MICHIGAN,635347.6,647488.0,655581.6,655581.6,647488.0,631300.8,639394.4,651534.8,651534.8,675815.6,687956.0,687956.0,661651.8,681885.8,708190.0,708190.0,667722.0,708190.0,667722.0,513538.92,488044.08,483187.92,407512.76,400633.2,316864.44,350857.56,247664.16,288941.52,295821.08,233500.36,259399.88,373924.32,418034.44,434626.32,417225.08,512729.56,430984.2,482783.24,501803.2,514752.96,493709.6,479545.8,531344.84,422081.24,566552.0,528512.08,503017.24,464167.96,517181.04,542271.2,482783.24,536201.0,547532.04,598521.72,638585.04,663270.52,667317.32,587595.36,587595.36,697668.32,676624.96,588809.4,559267.76,604187.24,624421.24,599331.08,562505.2,562505.2,505850.0,501803.2,578287.72,700096.4,696858.96,750681.4,799243.0,890296.0,946951.2,1007653.2,971232.0,1011700.0,1035980.8,1133104.0,1108823.2,728424.0,1060261.6,1104776.4,991466.0,801266.4,647488.0,797219.6,837687.6,930764.0,930764.0,829594.0,882202.4,878155.6,910530.0,882202.4,829594.0,789126.0,789126.0,768892.0,809360.0,821500.4,776985.6,813406.8,789126.0,946951.2,866015.2,845781.2,849828.0,886249.2,963138.4,902436.4,894342.8,837687.6,825547.2,764845.2,768892.0
MINNESOTA,598926.4,651534.8,728424.0,724377.2,789126.0,785079.2,805313.2,789126.0,813406.8,836473.56,886249.2,983372.4,1056214.8,1100729.6,1224157.0,1250461.2,1157384.8,1307116.4,1218086.8,963543.08,1104776.4,1161431.6,955854.16,1194615.4,1075639.4,1109227.9,1115702.8,999559.6,1090207.9,1158598.8,1216468.1,1248437.8,1397764.7,1306307.0,724377.2,1248842.5,1057428.8,1415166.0,1359724.8,1417594.0,1333825.3,1392099.2,1493673.9,1659997.4,1842508.0,1829963.0,1749431.6,1694395.2,1775331.2,1954604.4,1573800.5,1767237.6,1788280.9,1918183.2,1883785.4,2047276.1,2037563.8,2020162.6,1959055.9,2435768.9,2365354.6,2034326.4,1851411.0,2073580.3,1804063.4,1732030.4,1818631.9,2000333.2,1840484.6,1627623.0,1829558.3,2316793.0,1982527.3,2233833.6,2387612.0,2355237.6,2266208.0,2428080.0,2504969.2,2452360.8,2545437.2,2739683.6,2630420.0,1768451.6,2606139.2,2549484.0,2266208.0,1942464.0,1901996.0,2266208.0,2488782.0,2428080.0,2630420.0,1861528.0,2610186.0,2488782.0,2812526.0,2610186.0,2731590.0,2670888.0,2691122.0,2509016.0,2711356.0,2691122.0,2852994.0,2772058.0,2772058.0,3176738.0,2913696.0,2893462.0,2954164.0,3116036.0,3370984.4,3294095.2,3055334.0,3075568.0,3237440.0,3087708.4,3014866.0
MISSISSIPPI,849828.0,857921.6,870062.0,882202.4,829594.0,821500.4,829594.0,805313.2,837687.6,882202.4,975278.8,967185.2,1011700.0,1011700.0,1011700.0,1141197.6,1060261.6,1209993.2,1169525.2,1075234.8,955854.16,1309949.2,1146053.8,952616.72,870871.36,825547.2,811383.4,821095.72,789126.0,800861.72,793172.8,938452.92,1015746.8,1005629.8,1205541.7,1166692.4,1123391.7,1068355.2,1279598.2,1199066.8,1214849.4,1190568.6,1124201.0,1062689.7,1004011.1,963947.76,879369.64,894747.48,876132.2,813811.48,873299.44,706571.28,660437.76,603782.56,632919.52,617946.36,592856.2,558458.4,515157.64,468619.44,417225.08,333861.0,297035.12,285299.4,253734.36,205577.44,180891.96,169965.6,146494.16,110882.32,90243.64,89029.6,65962.84,59892.64,58273.92,58678.6,69604.96,64748.8,54631.8,44514.8,35611.84,46538.2,36421.2,22257.4,28327.6,46538.2,68795.6,60702.0,60702.0,56655.2,56655.2,60702.0,121404.0,76889.2,107240.2,111287.0,240784.6,175226.44,202340.0,125450.8,147708.2,155801.8,214480.4,214480.4,178059.2,147708.2,131521.0,368258.8,283276.0,281252.6,271135.6,295416.4,321720.6,335884.4,196269.8,198293.2,291369.6,202340.0,186152.8
